County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
Shelby,5.0,0.0,0.0,0.0,5.0,34.0,9.0,23.0,2.0,0.0
St. Clair,9.0,0.0,0.0,1.0,8.0,179.0,65.0,112.0,2.0,0.0
Ste. Genevieve,49.0,0.0,3.0,0.0,46.0,109.0,26.0,77.0,6.0,1.0
St. Francois,76.0,0.0,6.0,2.0,68.0,552.0,189.0,301.0,62.0,2.0
Stoddard,21.0,1.0,2.0,1.0,17.0,255.0,95.0,133.0,27.0,3.0
Stone,121.0,1.0,4.0,1.0,115.0,456.0,130.0,292.0,34.0,3.0
Sullivan,8.0,0.0,1.0,0.0,7.0,73.0,28.0,38.0,7.0,0.0
Taney,83.0,0.0,5.0,3.0,75.0,494.0,146.0,302.0,46.0,1.0
Texas,13.0,1.0,2.0,0.0,10.0,290.0,120.0,152.0,18.0,1.0
Vernon,37.0,0.0,1.0,0.0,36.0,315.0,102.0,185.0,28.0,3.0
Washington,39.0,1.0,2.0,1.0,35.0,377.0,114.0,225.0,38.0,6.0
Wayne,9.0,0.0,1.0,0.0,8.0,85.0,39.0,40.0,6.0,1.0
Worth,2.0,0.0,1.0,0.0,1.0,40.0,15.0,22.0,3.0,0.0
Wright,5.0,0.0,0.0,0.0,5.0,135.0,56.0,70.0,9.0,4.0
