County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)1","Rape
(legacy definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
Antrim,14.0,0.0,7.0,,3.0,4.0,222.0,66.0,144.0,12.0,3.0
Arenac,22.0,0.0,3.0,,0.0,19.0,98.0,35.0,57.0,6.0,0.0
Baraga,2.0,0.0,0.0,,0.0,2.0,30.0,9.0,20.0,1.0,0.0
Branch,14.0,0.0,8.0,,0.0,6.0,56.0,12.0,39.0,5.0,0.0
Charlevoix,15.0,0.0,10.0,,0.0,5.0,141.0,30.0,106.0,5.0,1.0
Cheboygan,10.0,0.0,6.0,,1.0,3.0,77.0,24.0,52.0,1.0,0.0
Chippewa,8.0,0.0,3.0,,0.0,5.0,103.0,28.0,74.0,1.0,0.0
Crawford,37.0,0.0,6.0,,0.0,31.0,128.0,46.0,79.0,3.0,0.0
Delta,12.0,0.0,4.0,,0.0,8.0,73.0,14.0,58.0,1.0,0.0
Emmet,16.0,0.0,5.0,,0.0,11.0,203.0,18.0,180.0,5.0,0.0
Gladwin,31.0,0.0,9.0,,1.0,21.0,214.0,94.0,115.0,5.0,0.0
Gogebic,5.0,0.0,1.0,,0.0,4.0,68.0,19.0,48.0,1.0,0.0
Houghton,3.0,0.0,3.0,,0.0,0.0,88.0,26.0,55.0,7.0,0.0
Huron,21.0,0.0,9.0,,0.0,12.0,155.0,38.0,102.0,15.0,1.0
Ionia,33.0,1.0,19.0,,0.0,13.0,330.0,113.0,197.0,20.0,6.0
Iosco,0.0,0.0,0.0,,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Iron,8.0,0.0,1.0,,1.0,6.0,51.0,27.0,24.0,0.0,0.0
Isabella,46.0,0.0,19.0,,7.0,20.0,398.0,113.0,268.0,17.0,4.0
Kalkaska,7.0,0.0,6.0,,0.0,1.0,272.0,82.0,182.0,8.0,0.0
Keweenaw,2.0,0.0,0.0,,0.0,2.0,39.0,10.0,29.0,0.0,0.0
Leelanau,7.0,0.0,2.0,,0.0,5.0,64.0,10.0,53.0,1.0,1.0
Luce,4.0,0.0,0.0,,0.0,4.0,38.0,11.0,25.0,2.0,0.0
Mackinac,11.0,0.0,0.0,,0.0,11.0,63.0,20.0,42.0,1.0,0.0
Manistee,25.0,0.0,9.0,,0.0,16.0,151.0,37.0,107.0,7.0,0.0
Marquette,1.0,0.0,1.0,,0.0,0.0,174.0,27.0,141.0,6.0,1.0
Mason,41.0,1.0,26.0,,0.0,14.0,496.0,164.0,321.0,11.0,1.0
Mecosta,202.0,1.0,20.0,,0.0,181.0,547.0,150.0,387.0,10.0,4.0
Menominee,11.0,0.0,7.0,,0.0,4.0,121.0,44.0,74.0,3.0,0.0
Missaukee,36.0,0.0,18.0,,0.0,18.0,189.0,32.0,153.0,4.0,0.0
Montmorency,5.0,0.0,0.0,,1.0,4.0,27.0,12.0,15.0,0.0,0.0
Oceana,24.0,1.0,12.0,,0.0,11.0,251.0,85.0,157.0,9.0,2.0
Ogemaw,21.0,0.0,2.0,,0.0,19.0,214.0,75.0,127.0,12.0,0.0
Osceola,29.0,0.0,6.0,,0.0,23.0,195.0,49.0,140.0,6.0,0.0
Oscoda,36.0,0.0,4.0,,0.0,32.0,135.0,46.0,83.0,6.0,0.0
Otsego,12.0,0.0,5.0,,0.0,7.0,103.0,36.0,66.0,1.0,1.0
Presque Isle,7.0,0.0,4.0,,0.0,3.0,50.0,12.0,15.0,23.0,0.0
Roscommon,27.0,1.0,13.0,,0.0,13.0,150.0,28.0,113.0,9.0,0.0
Sanilac,54.0,1.0,14.0,,0.0,39.0,180.0,67.0,99.0,14.0,1.0
Shiawassee,75.0,1.0,25.0,,3.0,46.0,443.0,160.0,267.0,16.0,3.0
Tuscola,77.0,1.0,43.0,,0.0,33.0,301.0,116.0,169.0,16.0,4.0
Wexford,36.0,0.0,20.0,,1.0,15.0,339.0,56.0,267.0,16.0,3.0
