,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)1","Rape
(legacy definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,San Bernardino,980.0,18.0,,59.0,133.0,770.0,"6,029.0","2,219.0","2,560.0","1,250.0",71.0
,San Diego,"1,505.0",6.0,,78.0,206.0,"1,215.0","5,607.0","1,682.0","3,092.0",833.0,41.0
,San Joaquin,640.0,14.0,,20.0,144.0,462.0,"4,331.0","1,520.0","2,651.0",160.0,12.0
,San Luis Obispo,298.0,2.0,,26.0,9.0,261.0,"1,327.0",540.0,781.0,6.0,4.0
,San Mateo,310.0,0.0,,13.0,51.0,246.0,"2,792.0",545.0,"1,959.0",288.0,13.0
,Santa Barbara,268.0,1.0,,42.0,29.0,196.0,"1,773.0",569.0,"1,191.0",13.0,10.0
,Santa Clara,189.0,3.0,,13.0,23.0,150.0,"1,490.0",363.0,951.0,176.0,0.0
,Santa Cruz,296.0,3.0,,20.0,35.0,238.0,"1,874.0",740.0,"1,118.0",16.0,15.0
,Shasta,501.0,8.0,,27.0,29.0,437.0,961.0,504.0,408.0,49.0,63.0
,Solano,121.0,1.0,,8.0,15.0,97.0,404.0,209.0,170.0,25.0,11.0
,Sonoma,592.0,5.0,,33.0,51.0,503.0,"1,357.0",552.0,795.0,10.0,17.0
,Stanislaus,365.0,13.0,,20.0,106.0,226.0,"2,451.0","1,076.0","1,312.0",63.0,10.0
,Sutter,70.0,2.0,,7.0,5.0,56.0,904.0,341.0,504.0,59.0,1.0
,Tulare4,641.0,18.0,,20.0,108.0,495.0,,"1,180.0","1,613.0",,
,Ventura,123.0,3.0,,13.0,23.0,84.0,"1,027.0",307.0,648.0,72.0,18.0
,Yolo,43.0,0.0,,4.0,3.0,36.0,409.0,134.0,261.0,14.0,9.0
,Yuba,185.0,3.0,,22.0,24.0,136.0,"1,303.0",457.0,839.0,7.0,13.0
,Alpine,6.0,0.0,,0.0,0.0,6.0,33.0,8.0,25.0,0.0,0.0
,Amador,67.0,0.0,,5.0,7.0,55.0,440.0,176.0,262.0,2.0,5.0
,Calaveras,121.0,5.0,,20.0,10.0,86.0,843.0,332.0,504.0,7.0,0.0
,Colusa,24.0,0.0,,3.0,1.0,20.0,308.0,92.0,209.0,7.0,0.0
,Del Norte,81.0,0.0,,13.0,16.0,52.0,272.0,161.0,109.0,2.0,11.0
,Glenn,107.0,0.0,,9.0,4.0,94.0,325.0,120.0,198.0,7.0,1.0
,Humboldt,153.0,3.0,,18.0,32.0,100.0,"1,149.0",596.0,520.0,33.0,13.0
,Inyo,47.0,0.0,,7.0,1.0,39.0,183.0,74.0,107.0,2.0,1.0
,Lake,216.0,2.0,,16.0,29.0,169.0,759.0,373.0,380.0,6.0,8.0
,Lassen,43.0,0.0,,7.0,0.0,36.0,169.0,74.0,93.0,2.0,3.0
,Mariposa,84.0,0.0,,6.0,1.0,77.0,291.0,98.0,190.0,3.0,0.0
,Mendocino,265.0,4.0,,21.0,21.0,219.0,683.0,309.0,361.0,13.0,24.0
,Modoc,41.0,1.0,,8.0,1.0,31.0,85.0,34.0,48.0,3.0,2.0
,Mono,10.0,0.0,,0.0,0.0,10.0,68.0,20.0,46.0,2.0,0.0
,Nevada,274.0,2.0,,13.0,8.0,251.0,631.0,353.0,272.0,6.0,1.0
,Plumas,90.0,1.0,,12.0,2.0,75.0,370.0,141.0,227.0,2.0,2.0
,Sierra,7.0,0.0,,0.0,0.0,7.0,77.0,43.0,32.0,2.0,0.0
,Siskiyou,23.0,0.0,,0.0,0.0,23.0,178.0,91.0,85.0,2.0,0.0
,Tehama,158.0,1.0,,7.0,3.0,147.0,274.0,99.0,175.0,0.0,14.0
,Trinity,30.0,1.0,,1.0,5.0,23.0,106.0,46.0,60.0,0.0,0.0
,Tuolumne,90.0,0.0,,6.0,8.0,76.0,771.0,385.0,382.0,4.0,4.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
