County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson1
Ozark,21.0,1.0,4.0,1.0,15.0,102.0,41.0,53.0,8.0,1.0
Pemiscot,19.0,0.0,3.0,3.0,13.0,167.0,56.0,104.0,7.0,2.0
Perry,11.0,0.0,0.0,1.0,10.0,74.0,29.0,35.0,10.0,0.0
Pettis,21.0,0.0,2.0,0.0,19.0,267.0,69.0,184.0,14.0,1.0
Phelps,50.0,2.0,3.0,3.0,42.0,379.0,137.0,217.0,25.0,1.0
Pike,25.0,0.0,3.0,0.0,22.0,94.0,43.0,40.0,11.0,4.0
Pulaski,66.0,0.0,1.0,2.0,63.0,269.0,132.0,120.0,17.0,1.0
Ralls,8.0,0.0,5.0,0.0,3.0,152.0,34.0,112.0,6.0,0.0
Randolph,7.0,0.0,0.0,0.0,7.0,95.0,31.0,60.0,4.0,0.0
Reynolds,11.0,0.0,3.0,0.0,8.0,61.0,19.0,33.0,9.0,0.0
Ripley,19.0,4.0,0.0,0.0,15.0,166.0,45.0,116.0,5.0,2.0
Scotland,1.0,0.0,0.0,0.0,1.0,29.0,11.0,17.0,1.0,1.0
Scott,23.0,0.0,1.0,0.0,22.0,103.0,39.0,59.0,5.0,0.0
Shannon,14.0,0.0,2.0,0.0,12.0,83.0,20.0,51.0,12.0,3.0
Shelby,0.0,0.0,0.0,0.0,0.0,61.0,22.0,36.0,3.0,0.0
St. Clair,11.0,2.0,0.0,0.0,9.0,125.0,45.0,79.0,1.0,0.0
Ste. Genevieve,33.0,0.0,2.0,1.0,30.0,119.0,34.0,74.0,11.0,1.0
St. Francois,75.0,0.0,4.0,0.0,71.0,392.0,104.0,233.0,55.0,5.0
Stoddard,29.0,0.0,2.0,0.0,27.0,181.0,86.0,84.0,11.0,0.0
Stone,79.0,0.0,1.0,3.0,75.0,531.0,222.0,266.0,43.0,1.0
Sullivan,14.0,0.0,0.0,0.0,14.0,52.0,23.0,28.0,1.0,0.0
Taney,96.0,0.0,5.0,1.0,90.0,555.0,191.0,328.0,36.0,0.0
Texas,7.0,1.0,0.0,0.0,6.0,143.0,50.0,75.0,18.0,6.0
Vernon,27.0,1.0,1.0,0.0,25.0,227.0,55.0,155.0,17.0,2.0
Wayne,6.0,0.0,0.0,0.0,6.0,108.0,55.0,49.0,4.0,0.0
Worth,8.0,0.0,0.0,0.0,8.0,29.0,19.0,8.0,2.0,1.0
Wright,15.0,0.0,1.0,0.0,14.0,105.0,60.0,30.0,15.0,1.0
